ID,target
000137c73,2684696.661670484
00021489f,2134815.56705974
0004d7953,4743518.133326196
00056a333,5323679.541111462
00056d8eb,1666064.4852574829
0005fc190,789947.1050118959
000787e86,1734010.5773729263
0008510a0,1033828.4746006996
000895faf,1588657.8198062242
000986fba,2805399.3455060525
0009efcc5,2432641.3678707737
000dd8f00,2134815.56705974
000e1cdc2,5905767.187111414
00103739c,2134815.56705974
00134b367,1852334.8964231634
001788d0d,308947.9716989799
0019c8ad7,2906494.6933731707
001a267b9,842525.1176645855
001a85486,2487062.911944055
001c4de06,5252215.984595706
001f9014b,1490371.9891471756
00216fb94,2378598.568536086
00235690e,2880469.6963263513
00240739d,2589676.639472106
0024c3747,2226776.532903198
00297052d,2109807.850080451
002ab8f85,3736772.5641915947
002bed5c0,2541050.799844637
002bf3974,2428942.9809658546
002d23a26,2239312.385606917
002f27de9,2002453.2996780367
0030d8bb4,3272846.5315629602
003146acd,760237.2254422163
003223263,3137941.3267346923
00335575e,2761586.3223393345
00337cf9d,1410631.8999791732
003394397,3134280.295794127
0036358a3,1655033.465554875
003770d30,731401.0360222795
003bed5ea,1515475.8510704231
003ea6427,3372691.103401215
003ef8132,952293.767368419
003fd1723,2448623.6156476703
0041861b4,1598071.0063553602
0042b718b,435228.1115875642
004381d8f,9408550.853847833
0043ca764,1224875.9835517537
004486837,4465235.914504669
0045c123e,1246691.8574757297
0048915c6,2134815.56705974
004ab9a09,2448466.0731581803
004b2e1c9,8855102.642673042
004c54732,409841.22502535
004cdefce,4013678.791643981
004dd971b,3716838.8225171864
004f9329b,2134815.56705974
004fd2bca,1453286.4581887077
0054bfedb,2642904.6653501927
0054ec58a,312694.25755107333
00551f45d,13262989.480328042
005777b4c,555802.767381491
00578d6ea,1435366.10095765
005802488,989277.734314995
0059833b6,1027591.3128755098
005a70085,1221448.0323865332
005b148a0,2134815.56705974
005c28df4,1057767.6353512388
005f8dc26,2659405.6076055504
00603c202,8426079.840538539
006049609,1617888.2107993092
00612f47e,2134815.56705974
00647a57f,2816905.7646916667
0065853ee,2134815.56705974
006589d5e,1487542.5613751253
006598823,1260735.986733025
0065c093c,8779407.506127736
006738351,1320268.2626401454
006a0c6a8,1654891.0836633786
006e9efe6,1689970.44482304
