ID,target
000137c73,5944923.322036331
00021489f,5944923.322036331
0004d7953,5944923.322036331
00056a333,5944923.322036331
00056d8eb,5944923.322036331
0005fc190,5944923.322036331
000787e86,5944923.322036331
0008510a0,5944923.322036331
000895faf,5944923.322036331
000986fba,5944923.322036331
0009efcc5,5944923.322036331
000dd8f00,5944923.322036331
000e1cdc2,5944923.322036331
00103739c,5944923.322036331
00134b367,5944923.322036331
001788d0d,5944923.322036331
0019c8ad7,5944923.322036331
001a267b9,5944923.322036331
001a85486,5944923.322036331
001c4de06,5944923.322036331
001f9014b,5944923.322036331
00216fb94,5944923.322036331
00235690e,5944923.322036331
00240739d,5944923.322036331
0024c3747,5944923.322036331
00297052d,5944923.322036331
002ab8f85,5944923.322036331
002bed5c0,5944923.322036331
002bf3974,5944923.322036331
002d23a26,5944923.322036331
002f27de9,5944923.322036331
0030d8bb4,5944923.322036331
003146acd,5944923.322036331
003223263,5944923.322036331
00335575e,5944923.322036331
00337cf9d,5944923.322036331
003394397,5944923.322036331
0036358a3,5944923.322036331
003770d30,5944923.322036331
003bed5ea,5944923.322036331
003ea6427,5944923.322036331
003ef8132,5944923.322036331
003fd1723,5944923.322036331
0041861b4,5944923.322036331
0042b718b,5944923.322036331
004381d8f,5944923.322036331
0043ca764,5944923.322036331
004486837,5944923.322036331
0045c123e,5944923.322036331
0048915c6,5944923.322036331
004ab9a09,5944923.322036331
004b2e1c9,5944923.322036331
004c54732,5944923.322036331
004cdefce,5944923.322036331
004dd971b,5944923.322036331
004f9329b,5944923.322036331
004fd2bca,5944923.322036331
0054bfedb,5944923.322036331
0054ec58a,5944923.322036331
00551f45d,5944923.322036331
005777b4c,5944923.322036331
00578d6ea,5944923.322036331
005802488,5944923.322036331
0059833b6,5944923.322036331
005a70085,5944923.322036331
005b148a0,5944923.322036331
005c28df4,5944923.322036331
005f8dc26,5944923.322036331
00603c202,5944923.322036331
006049609,5944923.322036331
00612f47e,5944923.322036331
00647a57f,5944923.322036331
0065853ee,5944923.322036331
006589d5e,5944923.322036331
006598823,5944923.322036331
0065c093c,5944923.322036331
006738351,5944923.322036331
006a0c6a8,5944923.322036331
006e9efe6,5944923.322036331
006f029d3,5944923.322036331
0070f35a2,5944923.322036331
007135f85,5944923.322036331
007285433,5944923.322036331
00735e101,5944923.322036331
0074ecf4e,5944923.322036331
007635fa9,5944923.322036331
007723613,5944923.322036331
007867da9,5944923.322036331
0078bfbd6,5944923.322036331
0078ce229,5944923.322036331
007a89d50,5944923.322036331
007d43dfa,5944923.322036331
007ee9e05,5944923.322036331
007ffeae2,5944923.322036331
00835c85c,5944923.322036331
0084b08f1,5944923.322036331
0087fb290,5944923.322036331
0088a96bd,5944923.322036331
008ac4292,5944923.322036331
008d8cca8,5944923.322036331
008e07b8c,5944923.322036331
008e5e25a,5944923.322036331
0094edcdb,5944923.322036331
00950141c,5944923.322036331
009566ef1,5944923.322036331
0095c81d4,5944923.322036331
0097a6ed4,5944923.322036331
0098fef9a,5944923.322036331
009b321ec,5944923.322036331
009cd681e,5944923.322036331
009f34f86,5944923.322036331
009f35cd3,5944923.322036331
009f65109,5944923.322036331
00a19014a,5944923.322036331
00a27e76a,5944923.322036331
00a3b6ef7,5944923.322036331
00a427603,5944923.322036331
00a6dc8be,5944923.322036331
00a811734,5944923.322036331
00a8f58a7,5944923.322036331
00aaae151,5944923.322036331
00ab17f67,5944923.322036331
00ac2d3a5,5944923.322036331
00adab1b6,5944923.322036331
00aef0d56,5944923.322036331
00b0b06c4,5944923.322036331
00b0e2303,5944923.322036331
00b1fbbc9,5944923.322036331
00b43e0c1,5944923.322036331
00b7190a8,5944923.322036331
00b722e1b,5944923.322036331
00bba815f,5944923.322036331
00bbb1c42,5944923.322036331
00bc2b665,5944923.322036331
00bc35689,5944923.322036331
00be23f52,5944923.322036331
00be24ac5,5944923.322036331
00bfd0f70,5944923.322036331
00c02f73e,5944923.322036331
00c08e5b3,5944923.322036331
00c8690ff,5944923.322036331
00c8df4d5,5944923.322036331
00c8e30de,5944923.322036331
00ca3fb04,5944923.322036331
00cabf621,5944923.322036331
00cb48ae3,5944923.322036331
00cb6b147,5944923.322036331
00cc91a22,5944923.322036331
00cd65e9d,5944923.322036331
00cd7d6a8,5944923.322036331
00cdc1483,5944923.322036331
00ce9bea5,5944923.322036331
00cea0091,5944923.322036331
00cea68c6,5944923.322036331
00d5a5975,5944923.322036331
00d80a3a4,5944923.322036331
00d9f3864,5944923.322036331
00da4bd31,5944923.322036331
00df4dd77,5944923.322036331
00e1a55bf,5944923.322036331
00e332971,5944923.322036331
00e5b6b1b,5944923.322036331
00e85d5e3,5944923.322036331
00e90abfa,5944923.322036331
